Patron,Card Barcode,Year Joined,Patron Phone,Book Barcode,Title,Year,Author,Author Year,Publisher,Publisher Phone,Checkout,Due,Returned
Garth Blackburn,0012895473680358600836468,2016,474.213.3903,4428985326076124636838732,"Life in Letters, A",1149,"Steinbeck, John",1733,Pocket,(933) 603-7079,2458248.5,2458255.5,1
Gregory Weeks,2434077194010219727211403,2006,1-987-121-2418,6116820441849973439951703,Eyeless in Gaza,1098,"Huxley, Aldous",1515,Mauj,(281) 493-2802,2458280.5,2458305.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,5387543224384485882093615,Freedom at Midnight,1759,"Lapierre, Dominique",1804,Simon&Schuster,1-242-414-8385,2458165.5,2458179.5,1
Jewell Lyons,1866134911332639698558639,1972,373-128-8347,1041010786357867044946167,Clash of Civilizations and Remaking of the World Order,1412,"Huntington, Samuel",1917,vikas,084-702-6767,2458121.5,2458122.5,1
Dong Russell,6781424783535223369763430,2000,(369) 967-4118,9816255664662313754875318,Burning Bright,1796,"Steinbeck, John",1733,Pocket,(933) 603-7079,2458253.5,2458278.5,1
Theola Flowers,5460282786346486873785483,2001,+1-(378)-844-2783,4206828090264157636303213,Tales of Beedle the Bard,1524,"Rowling, J K",1665,Wiley,024-858-6102,2458300.5,2458308.5,1
Jere Walker,8086577402953859803185252,2006,(803) 887-2176,2629748361570340262680882,"Complete Mastermind, The",1772,BBC,1769,HBA,210.406.2584,2458256.5,2458258.5,1
Nickole Kennedy,9919412672346890097716227,2003,398-337-3180,2663228544294581382138461,Girl with the Dragon Tattoo,1141,"Larsson, Steig",1938,Simon&Schuster,1-242-414-8385,2458150.5,2458159.5,1
Ramiro Brown,5877521440081394399419735,2013,+1-(549)-851-9635,4695303704934432559362870,Catch 22,1010,"Heller, Joseph",1521,CRC,+1-(724)-740-6946,2458231.5,2458235.5,1
Delena Sullivan,8498351372896461272725085,2009,(045) 577-7192,5332761816871876884554038,"Complete Mastermind, The",1799,BBC,1769,Hyperion,882.640.9487,2458208.5,2458210.5,1
Jere Walker,8086577402953859803185252,2006,(803) 887-2176,7040541105882072140191364,"Russian Journal, A",1237,"Steinbeck, John",1733,HBA,210.406.2584,2458210.5,2458214.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,5728334962724440414561056,Half A Life,1967,"Naipaul, V S",1981,Pocket,(933) 603-7079,2458219.5,2458232.5,1
Kayleigh Lambert,2700145311443270916061106,1975,840-831-4174,5123913206118779149008873,"Discovery of India, The",1851,"Nehru, Jawaharlal",1696,Wiley,024-858-6102,2458132.5,2458135.5,1
Bryan David,0557932438548234219826200,2004,1-581-451-6359,1714729672359867278460605,Girl who kicked the Hornet's Nest,1865,"Larsson, Steig",1938,Simon&Schuster,1-242-414-8385,2458127.5,2458167.5,1
Delta Madden,3182092287621293391012318,1982,100-265-1517,5392690199457475723633601,"Ropemaker, The",1051,"Dickinson, Peter",1441,Prentice Hall,1-047-873-5865,2458262.5,2458275.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,0064243141851669048313634,"Outsider, The",1145,"Camus, Albert",1719,Vintage,1-501-202-7994,2458263.5,2458265.5,1
Leland Weiss,4299571220394167018668767,2013,913-870-1645,4762180626990597755580214,Asami Asami,1023,"Deshpande, P L",1545,Jaico,253.778.3477,2458159.5,2458167.5,1
Lamont Sullivan,8126690944321555727027779,1975,(613) 040-9029,1448410956312984879038011,"Moon is Down, The",1700,"Steinbeck, John",1733,TMH,1-239-558-4462,2458120.5,2458129.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,8230774861987717692261259,Men of Mathematics,1516,"Bell, E T",1883,Penguin,824.149.4511,2458166.5,2458171.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,6062048558483981465503257,"Ropemaker, The",1252,"Dickinson, Peter",1441,BBC,(277) 273-2102,2458121.5,2458187.5,1
Lynwood Reeves,0907606975184617701246876,1999,052-558-9557,6988652829351492979308333,Ahe Manohar Tari,1602,"Deshpande, Sunita",1490,O'Reilly,1-122-313-8760,2458253.5,2458316.5,1
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,6442031808666883824987913,"Raisin in the Sun, A",1568,"Hansberry, Lorraine",1966,Random House,502.110.3821,2458141.5,2458143.5,1
Efrain Snider,1924305381240284244694618,2004,392-156-2895,4428985326076124636838732,"Life in Letters, A",1149,"Steinbeck, John",1733,Pocket,(933) 603-7079,2458156.5,2458161.5,1
Lamont Sullivan,8126690944321555727027779,1975,(613) 040-9029,2258842037910781633873518,Elements of Information Theory,1401,"Thomas, Joy",1595,Transworld,1-291-560-4782,2458191.5,2458201.5,1
Sarina Burke,0235356710463171343109006,1972,(928) 158-6622,5881424733397149536332638,Gun Gayin Awadi,1696,"Deshpande, P L",1545,HighStakes,218.696.0130,2458250.5,2458253.5,1
Nickole Kennedy,9919412672346890097716227,2003,398-337-3180,2867462894162494104194621,Free Will,1996,"Harris, Sam",1510,Simon&Schuster,1-242-414-8385,2458302.5,2458312.5,1
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,5249420082786143217730401,Urlasurla,1549,Deshpande P L,1849,HighStakes,218.696.0130,2458206.5,2458216.5,1
Mose Chambers,7900253221375390247431920,2007,1-631-997-5729,2347539134555941824676549,Simpsons & Their Mathematical Secrets,1908,"Singh, Simon",1772,Wiley,024-858-6102,2458242.5,2458244.5,1
Leland Weiss,8590449388533589280436070,1979,1-034-581-5266,8373920153615431639000978,Learning OpenCV,1031,"Bradsky, Gary",1890,TMH,1-239-558-4462,2458213.5,2458218.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,0045229499576121025973975,Manasa,1378,"Kale, V P",1946,O'Reilly,1-122-313-8760,2458192.5,2458233.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,2914807585566379890348317,Pointers in C,1640,"Kanetkar, Yashwant",1987,Routledge,+1-(476)-431-0927,2458240.5,2458241.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,2629748361570340262680882,"Complete Mastermind, The",1772,BBC,1769,HBA,210.406.2584,2458123.5,2458126.5,1
Wade Gaines,6945025963981238672782685,1984,+1-(726)-673-3696,5546357138434929341282042,Girl who played with Fire,1328,"Larsson, Steig",1938,Wiley,024-858-6102,2458144.5,2458149.5,1
Gerald Roberts,9960311807383440268126404,1978,861.515.6683,7810492937923801963120287,20000 Leagues Under the Sea,1246,"Verne, Jules",1455,BBC,(277) 273-2102,2458274.5,2458285.5,1
Leland Weiss,6667855752812298210597600,1974,1-430-603-4231,8080421518878690059285506,"History of England, Foundation",1201,"Ackroyd, Peter",1516,MIT Press,+1-(514)-735-5947,2458282.5,2458288.5,1
Tam Bridges,3457412497367125139913550,2015,402.555.4217,5157969177178595590172021,How to Think Like Sherlock Holmes,1366,"Konnikova, Maria",1501,CRC,+1-(724)-740-6946,2458273.5,2458293.5,1
Dusti Pate,3619920604129964426583825,1983,1-033-501-1943,6773933744063554089299256,Ayn Rand Answers,1195,"Rand, Ayn",1805,Fontana,326.658.5696,2458147.5,2458155.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,8408946220329421081297726,Doctor on the Brain,1330,"Gordon, Richard",1845,Routledge,+1-(476)-431-0927,2458154.5,2458189.5,1
Alton Stokes,3417298192108140969606917,1999,228.343.5668,6329964303217220300268722,Dylan on Dylan,1749,"Dylan, Bob",1443,HBA,210.406.2584,2458224.5,2458259.5,1
Shantae Yang,7188329980942029803411013,1997,875-317-9706,3083475216777221567065131,"Prince, The",1248,Machiavelli,1633,TMH,1-239-558-4462,2458179.5,2458201.5,1
Marcus Bray,0398701444116160390302808,1971,(804) 626-4214,1177675969980582997582715,Men of Mathematics,1599,"Bell, E T",1883,Pocket,(933) 603-7079,2458151.5,2458190.5,1
Wade Gaines,6945025963981238672782685,1984,+1-(726)-673-3696,7792367213926812677705221,"Last Mughal, The",1401,"Dalrymple, William",1795,Routledge,+1-(476)-431-0927,2458267.5,2458310.5,1
Lynwood Reeves,0907606975184617701246876,1999,052-558-9557,4251196886513072053001763,"Amulet of Samarkand, The",1296,"Stroud, Jonathan",1996,TMH,1-239-558-4462,2458175.5,2458192.5,1
Theola Flowers,5460282786346486873785483,2001,+1-(378)-844-2783,5773679937890706691909231,Bookless in Baghdad,1773,"Tharoor, Shashi",1790,Fontana,326.658.5696,2458199.5,2458218.5,1
Alonzo Crawford,3941136294053688766036728,1981,1-811-700-9337,8389464444983397811864655,Jurassic Park,1297,"Crichton, Michael",1655,Jaico,253.778.3477,2458130.5,2458137.5,1
Edmond Odom,7597862788341531238123345,2011,601.516.3549,7890130704578987802865125,Talking Straight,1454,"Iacoca, Lee",1432,Vintage,1-501-202-7994,2458245.5,2458262.5,1
Josef Suarez,5062216475407120681295148,1997,1-833-273-5807,1512048477176509657379327,Burning Bright,1650,"Steinbeck, John",1733,Random House,502.110.3821,2458174.5,2458194.5,1
Lynna Finch,5982102087757630126641232,2017,1-572-598-9027,7346138932877478720535163,India's Legal System,1268,Nariman,1865,FreePress,890.262.9357,2458196.5,2458221.5,1
Pasquale Mathis,3474187461233062560925445,2017,274-095-8783,7413347604444503592379169,"Courtroom Genius, The",1731,Sorabjee,1697,Elsevier,359.226.5396,2458283.5,2458294.5,1
Sarina Burke,0235356710463171343109006,1972,(928) 158-6622,3241226077835932559010265,Clash of Civilizations and Remaking of the World Order,1841,"Huntington, Samuel",1917,HBA,210.406.2584,2458166.5,2458182.5,1
Erik Daugherty,4365231141253166525953820,1976,1-944-254-5205,4911518981751704919993664,Half A Life,1222,"Naipaul, V S",1981,Hyperion,882.640.9487,2458189.5,2458218.5,1
Meg Preston,4325970820176813063340730,2000,405.825.7924,4187490268859241171692925,Principles of Communication Systems,1048,"Taub, Schilling",1514,HBA,210.406.2584,2458179.5,2458191.5,1
Catherin Leonard,5741968981108119678011171,2006,(000) 978-4621,1478512883037490774105569,Angels & Demons,1953,"Brown, Dan",1404,Fontana,326.658.5696,2458500.5,2458507.5,0
Martin Lowe,7000578059379359669442274,1997,+1-(477)-925-1033,5686119601510831778440007,Ayn Rand Answers,1648,"Rand, Ayn",1805,Mauj,(281) 493-2802,2458515.5,2458522.5,0
Irmgard Harding,5167849246197346073040370,1994,1-235-585-9499,4052528737314678325362112,"Last Mughal, The",1026,"Dalrymple, William",1795,Springer,(279) 282-8193,2458208.5,2458232.5,1
Edmond Odom,7597862788341531238123345,2011,601.516.3549,5846355261694895123017766,Char Shabda,1591,"Deshpande, P L",1545,Pan,1-663-594-1588,2458222.5,2458244.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,7989177075572739285180263,Python for Data Analysis,1318,"McKinney, Wes",1430,TMH,1-239-558-4462,2458266.5,2458299.5,1
Sarina Burke,1603404408261407982703034,1985,(811) 784-9570,6779875182320080191361783,"Russian Journal, A",1471,"Steinbeck, John",1733,Hyperion,882.640.9487,2458133.5,2458137.5,1
Efrain Snider,1924305381240284244694618,2004,392-156-2895,6062048558483981465503257,"Ropemaker, The",1252,"Dickinson, Peter",1441,BBC,(277) 273-2102,2458209.5,2458219.5,1
Emelia Bryan,4676965825837310239279272,1972,(971) 534-8744,0689519914975431416725972,Physics & Philosophy,1664,"Heisenberg, Werner",1460,Random,+1-(530)-757-4100,2458236.5,2458284.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,9988809630164756694833359,Down and Out in Paris & London,1343,"Orwell, George",1589,Routledge,+1-(476)-431-0927,2458196.5,2458232.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,9186074382102243507647039,"Last Mughal, The",1848,"Dalrymple, William",1795,Bodley Head,(172) 571-4178,2458238.5,2458243.5,1
Jewell Lyons,3674481301646116839144082,2010,357.200.5882,8713616978316577218379991,Return of the Primitive,1445,"Rand, Ayn",1805,Rupa,695-251-0415,2458125.5,2458136.5,1
Trent Turner,3333307133453377475757611,1971,1-558-908-9420,7889928183980121176176838,Freedom at Midnight,1215,"Lapierre, Dominique",1804,Apress,836.632.0273,2458186.5,2458218.5,1
Gordon Dawson,8385857141919853130101626,1997,(429) 451-2686,6648645763413645822432795,Pointers in C,1182,"Kanetkar, Yashwant",1987,Rupa,695-251-0415,2458139.5,2458163.5,1
Isaiah Beck,7803288748820769600627526,2016,762.624.1992,6371904668078823515492497,Zen & The Art of Motorcycle Maintenance,1828,"Pirsig, Robert",1643,HarperCollins,(158) 998-2435,2458147.5,2458164.5,1
Bill Morales,5713468365007349888696601,2015,902.994.6482,8222650730927150907400388,Let Us C,1949,"Kanetkar, Yashwant",1987,FreePress,890.262.9357,2458176.5,2458192.5,1
Tam Zamora,4082557406318658168661086,2005,(369) 034-2493,1363142499801221067187097,Mein Kampf,1794,"Hitler, Adolf",1845,Springer,(279) 282-8193,2458296.5,2458312.5,1
Sarina Burke,1603404408261407982703034,1985,(811) 784-9570,7635187383371194048203277,Sea of Poppies,1680,"Ghosh, Amitav",1628,Rupa,695-251-0415,2458196.5,2458219.5,1
Olin Gates,6821642241715136502939452,1987,1-072-582-2952,4888610639504247247712242,"Winter of Our Discontent, The",1323,"Steinbeck, John",1733,HighStakes,218.696.0130,2458222.5,2458237.5,1
Marcus Bray,0398701444116160390302808,1971,(804) 626-4214,3857850678672009374837857,Girl who played with Fire,1591,"Larsson, Steig",1938,Transworld,1-291-560-4782,2458296.5,2458307.5,1
Olin Gates,6821642241715136502939452,1987,1-072-582-2952,7121127848643031817544629,Unpopular Essays,1335,"Russell, Bertrand",1901,Mauj,(281) 493-2802,2458159.5,2458177.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,4740962935816696688819016,Physics & Philosophy,1367,"Heisenberg, Werner",1460,Picador,+1-(351)-688-5454,2458173.5,2458181.5,1
Kim Briggs,8879917779052017236449519,2010,1-474-974-0736,4713007466764684271982997,Char Shabda,1893,"Deshpande, P L",1545,Springer,(279) 282-8193,2458300.5,2458318.5,1
Lonny Duffy,1315125572084926153778412,2012,773-202-5135,0806904785558720665934183,Mossad,1833,"Baz-Zohar, Michael",1544,MIT Press,+1-(514)-735-5947,2458189.5,2458190.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,9874165734379327537454526,Dylan on Dylan,1635,"Dylan, Bob",1443,vikas,084-702-6767,2458280.5,2458304.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,1259800387969108399675116,Machine Learning for Hackers,1356,"Conway, Drew",1924,MIT Press,+1-(514)-735-5947,2458237.5,2458240.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,7652944781082214440126152,Freedom at Midnight,1276,"Lapierre, Dominique",1804,Transworld,1-291-560-4782,2458173.5,2458175.5,1
Matt Hurst,3241180046098034750673298,2016,(506) 673-5347,5659856315541163075222850,"Hunchback of Notre Dame, The",1670,"Hugo, Victor",1658,HBA,210.406.2584,2458293.5,2458318.5,1
Emery Byrd,6559549596782707989229204,1971,(463) 978-2687,4070932311933311404905757,Fundamentals of Wavelets,1629,"Goswami, Jaideva",1818,CRC,+1-(724)-740-6946,2458129.5,2458132.5,1
Debera O'brien,6214363074495132443186434,1970,514-466-6139,4890786603321718854597068,"Discovery of India, The",1815,"Nehru, Jawaharlal",1696,Vintage,1-501-202-7994,2458171.5,2458191.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,4278965108063939924441578,"Prince, The",1864,Machiavelli,1633,Dell,+1-(172)-750-1157,2458286.5,2458306.5,1
France Odom,1654932546761794379116424,1981,1-589-940-8952,8164518606002333158302045,Mossad,1959,"Baz-Zohar, Michael",1544,Prentice Hall,1-047-873-5865,2458129.5,2458146.5,1
Leland Weiss,4299571220394167018668767,2013,913-870-1645,1700025387080464504274602,"Great War for Civilization, The",1732,"Fisk, Robert",1594,Fontana,326.658.5696,2458120.5,2458123.5,1
Ramiro Brown,5877521440081394399419735,2013,+1-(549)-851-9635,7824383693444894270615813,Angels & Demons,1241,"Brown, Dan",1404,HarperCollins,(158) 998-2435,2458237.5,2458245.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,2583075117316576065747092,Doctor in the Nude,1093,"Gordon, Richard",1845,Random House,502.110.3821,2458123.5,2458135.5,1
Elbert David,4637234555376358487055887,2013,1-472-109-7436,4508455189319872471803093,Design with OpAmps,1488,"Franco, Sergio",1764,Apress,836.632.0273,2458284.5,2458299.5,1
Garth Blackburn,8005796751781743312139795,1986,260.205.7469,3767822429131280045810620,"Farewell to Arms, A",1954,"Hemingway, Ernest",1450,Random House,502.110.3821,2458154.5,2458191.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,4786532782803395821194306,Crime and Punishment,1516,"Dostoevsky, Fyodor",1591,BBC,(277) 273-2102,2458268.5,2458284.5,1
Garth Blackburn,8005796751781743312139795,1986,260.205.7469,5229846566058386957280708,New Markets & Other Essays,1050,"Drucker, Peter",1512,O'Reilly,1-122-313-8760,2458229.5,2458264.5,1
Leland Weiss,6667855752812298210597600,1974,1-430-603-4231,8668616329357513970543412,Sea of Poppies,1168,"Ghosh, Amitav",1628,Elsevier,359.226.5396,2458299.5,2458318.5,1
Jewell Lyons,1866134911332639698558639,1972,373-128-8347,8371518205958572603075761,"Raisin in the Sun, A",1941,"Hansberry, Lorraine",1966,Apress,836.632.0273,2458211.5,2458238.5,1
Yanira Wheeler,2357667128359497769894125,1997,+1-(102)-891-7197,5729976837048461384426729,"Arthashastra, The",1657,Kautiyla,1731,Pan,1-663-594-1588,2458215.5,2458218.5,1
Barney Hart,5128664476629915847604278,1982,959.342.6988,7438463249442263642586408,Making Software,1116,"Oram, Andy",1583,Vintage,1-501-202-7994,2458189.5,2458193.5,1
Karmen Knox,1532751081865920834277724,1991,(574) 470-3461,8707286653317351611374160,"Moon and Sixpence, The",1344,"Maugham, William S",1611,Fontana,326.658.5696,2458243.5,2458262.5,1
Zane Irwin,2896552070462588416602920,1986,1-302-958-5583,3424840845808919335912071,"Theory of Everything, The",1340,"Hawking, Stephen",1440,Dell,+1-(172)-750-1157,2458231.5,2458245.5,1
Loura Sullivan,2142642943213476330171280,1994,953.437.6188,7408818298983818120851942,Elements of Information Theory,1379,"Thomas, Joy",1595,Orient Blackswan,552-486-8974,2458257.5,2458259.5,1
Jere Walker,8086577402953859803185252,2006,(803) 887-2176,1365921494977809160571474,"Courtroom Genius, The",1777,Sorabjee,1697,HarperCollins,(158) 998-2435,2458281.5,2458302.5,1
Elbert David,4637234555376358487055887,2013,1-472-109-7436,5843658309150158997662159,"Hunchback of Notre Dame, The",1311,"Hugo, Victor",1658,BBC,(277) 273-2102,2458192.5,2458217.5,1
Kayleigh Lambert,2700145311443270916061106,1975,840-831-4174,9738673554943425458685605,"Code Book, The",1933,"Singh, Simon",1772,Random,+1-(530)-757-4100,2458247.5,2458248.5,1
Leland Weiss,8590449388533589280436070,1979,1-034-581-5266,8373920153615431639000978,Learning OpenCV,1031,"Bradsky, Gary",1890,TMH,1-239-558-4462,2458122.5,2458144.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,7872896663744604308945319,Talking Straight,1616,"Iacoca, Lee",1432,Pan,1-663-594-1588,2458141.5,2458176.5,1
Gordon Dawson,8385857141919853130101626,1997,(429) 451-2686,7784825688953121176637566,Introduction to Algorithms,1189,"Cormen, Thomas",1869,Random,+1-(530)-757-4100,2458125.5,2458135.5,1
Mason Tucker,5394584001297934399917056,1983,923-609-8252,8539707701283568776689015,"Outsider, The",1217,"Camus, Albert",1719,HarperCollins,(158) 998-2435,2458125.5,2458137.5,1
Garth Blackburn,8005796751781743312139795,1986,260.205.7469,7784825688953121176637566,Introduction to Algorithms,1189,"Cormen, Thomas",1869,Random,+1-(530)-757-4100,2458228.5,2458280.5,1
Emelia Bryan,4676965825837310239279272,1972,(971) 534-8744,2328262647475275802598725,Men of Mathematics,1993,"Bell, E T",1883,Random House,502.110.3821,2458259.5,2458302.5,1
Loura Sullivan,2142642943213476330171280,1994,953.437.6188,5676891346091922257648770,We the People,1515,Palkhivala,1925,FreePress,890.262.9357,2458237.5,2458252.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,2740030740290810257660614,"Christmas Carol, A",1439,"Dickens, Charles",1438,Orient Blackswan,552-486-8974,2458192.5,2458224.5,1
Jewell Lyons,3674481301646116839144082,2010,357.200.5882,3242102225312354581064223,Learning OpenCV,1632,"Bradsky, Gary",1890,Springer,(279) 282-8193,2458280.5,2458292.5,1
Reynaldo Malone,9513351377461751446473441,2006,(652) 661-9259,7223695584527828318601790,"Argumentative Indian, The",1724,"Sen, Amartya",1705,TMH,1-239-558-4462,2458241.5,2458247.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,7772402744851549952163851,Structure & Interpretation of Computer Programs,1570,"Sussman, Gerald",1538,CRC,+1-(724)-740-6946,2458238.5,2458271.5,1
Catherin Leonard,5741968981108119678011171,2006,(000) 978-4621,5208913638858959037079460,Machine Learning for Hackers,1751,"Conway, Drew",1924,Random,+1-(530)-757-4100,2458186.5,2458219.5,1
Dallas French,0189639962362105313664589,1991,140.869.7386,5927058205695276416224631,Image Processing with MATLAB,1567,"Eddins, Steve",1976,HBA,210.406.2584,2458174.5,2458182.5,1
Mason Tucker,5394584001297934399917056,1983,923-609-8252,4065458199739908377635787,Textbook of Economic Theory,1610,"Stonier, Alfred",1849,Elsevier,359.226.5396,2458165.5,2458181.5,1
Emelia Bryan,4676965825837310239279272,1972,(971) 534-8744,2413191416463245111192154,Image Processing with MATLAB,1675,"Eddins, Steve",1976,Springer,(279) 282-8193,2458261.5,2458287.5,1
France Tucker,0591816218593958416466566,1998,1-755-712-2238,5122013651697667612844024,In a Free State,1244,"Naipaul, V. S.",1867,Elsevier,359.226.5396,2458184.5,2458223.5,1
Meg Preston,4325970820176813063340730,2000,405.825.7924,0990496488014250491732927,Philosophy: Who Needs It,1186,"Rand, Ayn",1805,Dell,+1-(172)-750-1157,2458157.5,2458169.5,1
Chadwick Chambers,9204132089265988229733675,1985,(379) 269-4196,2564893183112187228483100,Empire of the Mughal - The Serpent's Tooth,1128,"Rutherford, Alex",1765,BBC,(277) 273-2102,2458176.5,2458186.5,1
Matt Hurst,3241180046098034750673298,2016,(506) 673-5347,6962519589952442603700111,Ayn Rand Answers,1102,"Rand, Ayn",1805,Simon&Schuster,1-242-414-8385,2458152.5,2458156.5,1
Eric Cortez,5432964453766222884786171,2014,064-090-3468,2029245014994357044468349,"Code Book, The",1114,"Singh, Simon",1772,Rupa,695-251-0415,2458301.5,2458318.5,1
Dong Russell,6781424783535223369763430,2000,(369) 967-4118,9699230980757158965593224,Journal of a Novel,1865,"Steinbeck, John",1733,TMH,1-239-558-4462,2458273.5,2458297.5,1
Matt Hurst,3241180046098034750673298,2016,(506) 673-5347,6158682406723363910995969,One,1383,"Bach, Richard",1468,Wiley,024-858-6102,2458171.5,2458188.5,1
Eric Cortez,5432964453766222884786171,2014,064-090-3468,7182075936738407582047230,Clash of Civilizations and Remaking of the World Order,1954,"Huntington, Samuel",1917,FreePress,890.262.9357,2458247.5,2458248.5,1
Irmgard Harding,5167849246197346073040370,1994,1-235-585-9499,0458330814055390929000442,Data Scientists at Work,1067,Sebastian Gutierrez,1418,Hyperion,882.640.9487,2458272.5,2458298.5,1
Yanira Wheeler,4727498535203287930603641,2003,+1-(996)-216-1891,1342426867065310688541395,Bookless in Baghdad,1859,"Tharoor, Shashi",1790,HarperCollins,(158) 998-2435,2458173.5,2458191.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,3631952800644922252470040,"Justice, Judiciary and Democracy",1508,"Ranjan, Sudhanshu",1792,Picador,+1-(351)-688-5454,2458146.5,2458209.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,4340154389126473249771585,Unpopular Essays,1863,"Russell, Bertrand",1901,Jaico,253.778.3477,2458161.5,2458196.5,1
Barney Hart,5128664476629915847604278,1982,959.342.6988,1296174474943930377711515,"History of England, Foundation",1571,"Ackroyd, Peter",1516,HighStakes,218.696.0130,2458245.5,2458285.5,1
Leland Weiss,6667855752812298210597600,1974,1-430-603-4231,2481433920053961161291446,Philosophy: Who Needs It,1440,"Rand, Ayn",1805,Apress,836.632.0273,2458188.5,2458191.5,1
Leon Barry,7615220844686319876562533,1995,993.537.6943,5973530140300790185007683,"Outsider, The",1731,"Camus, Albert",1719,Bodley Head,(172) 571-4178,2458122.5,2458134.5,1
Delta Madden,3182092287621293391012318,1982,100-265-1517,8105043748177547190055869,O Jerusalem!,1257,"Lapierre, Dominique",1804,MIT Press,+1-(514)-735-5947,2458212.5,2458214.5,1
Ethyl Huber,2170456213913206867221432,1981,1-171-535-4717,8219479104691486151295599,History of Western Philosophy,1163,"Russell, Bertrand",1901,Random,+1-(530)-757-4100,2458125.5,2458145.5,1
Bryan David,0557932438548234219826200,2004,1-581-451-6359,9582780351520253858397826,"Complete Mastermind, The",1206,BBC,1769,Dell,+1-(172)-750-1157,2458149.5,2458184.5,1
Shantae Yang,7188329980942029803411013,1997,875-317-9706,4859673592642292844504417,Dongri to Dubai,1294,"Zaidi, Hussain",1506,HighStakes,218.696.0130,2458198.5,2458210.5,1
Eric Cortez,5432964453766222884786171,2014,064-090-3468,8881170371505655256424873,"Justice, Judiciary and Democracy",1969,"Ranjan, Sudhanshu",1792,Hyperion,882.640.9487,2458258.5,2458279.5,1
Gerald Roberts,9960311807383440268126404,1978,861.515.6683,5846355261694895123017766,Char Shabda,1591,"Deshpande, P L",1545,Pan,1-663-594-1588,2458132.5,2458161.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,8644507109391067326551925,"Signal and the Noise, The",1960,"Silver, Nate",1469,Springer,(279) 282-8193,2458199.5,2458200.5,1
Louie Kirk,3091734774841364634443101,1990,+1-(849)-040-3851,9629157074756664585313592,Design with OpAmps,1007,"Franco, Sergio",1764,TMH,1-239-558-4462,2458291.5,2458312.5,1
Garth Blackburn,8005796751781743312139795,1986,260.205.7469,0159906295746975909488092,City of Djinns,1667,"Dalrymple, William",1795,Pan,1-663-594-1588,2458189.5,2458200.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,5973530140300790185007683,"Outsider, The",1731,"Camus, Albert",1719,Bodley Head,(172) 571-4178,2458282.5,2458317.5,1
Tam Bridges,3457412497367125139913550,2015,402.555.4217,9454473187275113689921611,Orientalism,1205,"Said, Edward",1919,Pearson,1-293-811-9652,2458235.5,2458236.5,1
Mason Tucker,5394584001297934399917056,1983,923-609-8252,1324069207041677271505407,Down and Out in Paris & London,1049,"Orwell, George",1589,HarperCollins,(158) 998-2435,2458269.5,2458288.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,5444421770416997230626065,Down and Out in Paris & London,1171,"Orwell, George",1589,Dell,+1-(172)-750-1157,2458239.5,2458298.5,1
Elbert David,4637234555376358487055887,2013,1-472-109-7436,4576724362284897215705768,Statistical Decision Theory',1008,"Pratt, John",1948,Transworld,1-291-560-4782,2458214.5,2458259.5,1
Karmen Knox,1532751081865920834277724,1991,(574) 470-3461,7963687913236708963087102,Talking Straight,1331,"Iacoca, Lee",1432,HighStakes,218.696.0130,2458122.5,2458127.5,1
Ramiro Brown,5877521440081394399419735,2013,+1-(549)-851-9635,7889928183980121176176838,Freedom at Midnight,1215,"Lapierre, Dominique",1804,Apress,836.632.0273,2458126.5,2458130.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,5313653408347142276204647,On Education,1555,"Russell, Bertrand",1901,Random,+1-(530)-757-4100,2458180.5,2458196.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,5731995988399767723318593,"Prisoner of Birth, A",1641,"Archer, Jeffery",1565,HBA,210.406.2584,2458148.5,2458169.5,1
